0,1
Immunizations,3222
Medicine and Healthcare,3123
COVID-19 (2019-2020),2337
Immunology,1705
Infectious Diseases,999
Health,905
COVID-19 Vaccine,772
Pharmaceuticals,727
Vaccines,699
Anti-Vaccine Movement,451
Medical Conditions and Diseases,372
Survey Question,336
Covid-19 Vaccine Roll-out and Distribution,268
Virology,245
The United States of America,226
Politics of the United States of America,209
The United Kingdom,174
India,153
Pfizer (company),141
"Donald Trump (politician, business person)",130
Countries of the World,114
AstraZeneca / Oxford Vaccine AZD1222 (COVID-19),100
Side Effects,95
BioNTech-Pfizer COVID-19 Vaccine,90
Human Behavior,88
Personal Question,87
International Relations,85
Masks,85
China,84
Immune System,83
Understanding Human Behavior,83
Hypothetical Scenarios,82
European Union,81
Medicine and Healthcare in India,79
Russia,77
Flu Shots,75
Healthcare and Medicine in the United States of America,74
Children,74
Drug and Pharmaceutical Companies,74
Joe Biden (politician),65
Europe,63
Preventive Medicine,62
Medical Advice,60
Safety of COVID-19 Vaccines,56
Politics,56
Sputnik V Vaccine (Russia),54
Epidemiology,53
International Travel,51
Passports,49
Death and Dying,45
Doctors,45
Centers for Disease Control and Prevention,45
Medical Research,44
Viruses (biology),44
Pandemics,44
Messenger RNA (mRNA),43
Johnson & Johnson COVID-19 Vaccine (USA),43
COVID-19 in the USA,41
2015 Vaccination Debate and Measles Outbreak,41
Immunity (biology),39
mRNA-1273 (Moderna Covid vaccine),38
Government,38
Blood Clots,38
Drug Development,37
US Food and Drug Administration,37
Influenza,36
Politics of India,36
Law,35
Rabies Vaccine,34
AstraZeneca (company),34
Visiting and Travel,34
Parenting,33
Republican Party (US politics),32
COVID-19 in India,31
Drug Effects,31
Legal Issues and Law in Everyday Life,30
Johnson & Johnson (company),30
Parents,29
COVID-19 Vaccinations,29
Science,29
Politics of the United Kingdom,29
COVID-19 Variants (Strains),28
Public Health and Safety,28
Populations,28
Vaccine Research and Development,26
Clinical Trials,26
Life and Living,26
World Health Organization (WHO),26
Trump-Pence 2016,26
Antibodies,26
Psychology of Everyday Life,25
RNA,24
American Ethnicity and People,24
Life Advice,23
Rabies,23
Indian Ethnicity and People,23
Fear,23
Canada,23
Narendra Modi,23
Interpersonal Interaction,23
Biology,22
Conspiracy Theories,22
Experiences in Life,22
Nurses,22
Mutation and Mutations (genetics),21
Polio,21
Philosophy of Everyday Life,21
COVID-19 IN UK,21
Passports and International Travel,21
COVID-19 Pandemic,20
Medical Professions and Professionals,20
Molecular Biology,20
Genetics and Heredity,19
Belief and Beliefs,19
European Union and the United Kingdom,19
EU COVID-19 Vaccine Fiasco,19
CoVaxIn (Bharat COVID-19 vaccine),18
Religion,18
Statistics (collected data),18
Great Britain,18
Government of India,18
Allergies,18
Israel,18
Covishield Vaccine (India),17
Moderna Therapeutics,17
Donald Trump Supporters,17
Ethics,17
Jobs and Careers,17
Africa,17
Germany,17
Covid Vaccination Passport,17
Blood,17
Veterinary Medicine,16
Pets,16
Teenagers and Teenage Years,16
Democratic Party (US politics),16
Christianity,16
Bharatiya Janata Party (BJP),16
Employers,15
Scientists,15
mRNA Vaccines,15
Medical Ethics,15
COVID-19 Delta Variant,15
